Number of weeks,Description,All retailing,All retailing except automotive fuel,Predominantly food stores,Non-specialised stores (i.e supermarkets),Specialist food stores (i.e butchers and bakers),"Alcoholic drink, beverages & tobacco",Predominantly non-food stores,Non-specialised stores (i.e department stores),Other non-food stores,Dispensing chemists,Medical goods,Cosmetics and toilet articles,Computers & telecoms equipment,"Carpets, rugs, wall & coverings","Books, newspapers & stationery","Sports equipment, games and toys",Watches and jewellery,"Flowers, plants, seeds, fertilisers, pet animals and pet food",Other retail sales of new goods in specialised stores,Second-hand goods,"Textile, clothing & footwear stores",Textiles,Clothing,Footwear and leather goods,Household goods stores,"Furniture, lighting and household articles n.e.c",Electrical household aplliances,"Hardware, paints and glass",Music and video recordings & equiptment,Non-store retailing,Mail order,Fuel
5.0,2020DEC,42973219,39962233,16639053,15482466.0,844072,312515,16401874,3206642.0,5452029,182711.0,98854.0,433209.0,348519,99107.0,301889,1437954,641886.0,533161.0,1054645.0,320094.0,4072622,86547.0,3573178.0,412897.0,3670581,1478003.0,675323.0,1435469.0,81786,6921306,6627791.0,3010986.0
4.0,2021JAN,31536167,29221074,13674354,12798007.0,586056,290291,9924657,2211324.0,3326142,149008.0,81282.0,251584.0,168712,58640.0,157607,729739,412870.0,401839.0,726884.0,187977.0,2007082,81511.0,1733813.0,191758.0,2380109,848047.0,473136.0,1007154.0,51772,5622063,5351602.0,2315093.0
4.0,2021FEB,32268699,29838871,13939236,12972662.0,635760,330814,10394828,2588851.0,3160405,144924.0,83574.0,297376.0,150965,52805.0,123050,715137,392712.0,460132.0,665400.0,74330.0,1895273,49876.0,1645168.0,200229.0,2750299,885418.0,598759.0,1147761.0,118361,5504807,5294601.0,2429828.0
5.0,2021MAR,42080218,38645516,17581144,16315618.0,851493,414033,14255339,3376878.0,4552032,189399.0,124300.0,371870.0,181516,125183.0,146610,970131,450928.0,746985.0,946944.0,298166.0,2720373,59364.0,2399414.0,261595.0,3606056,1127170.0,662037.0,1747339.0,69510,6809033,6496321.0,3434702.0
4.0,2021APR,36681654,33605728,14049486,13035125.0,673349,341012,14092425,2807953.0,4493691,151422.0,93931.0,371708.0,152808,176676.0,237573,1160384,630522.0,489988.0,826014.0,202665.0,3639955,62876.0,3240227.0,336852.0,3150826,1212610.0,673763.0,1193009.0,71444,5463817,5210582.0,3075926.0
4.0,2021MAY,36354873,33063683,13330057,12327053.0,682465,320539,14426337,2649224.0,4889004,156377.0,105292.0,382904.0,324905,190264.0,274572,1178803,741667.0,446687.0,869622.0,217911.0,3550461,64597.0,3134991.0,350873.0,3337648,1441441.0,678256.0,1144441.0,73510,5307289,5044613.0,3291190.0
5.0,2021JUN,46180902,41977547,17454724,16132633.0,891232,430859,17943961,3280981.0,6291084,202259.0,133867.0,482225.0,415040,214615.0,312735,1430093,822496.0,594605.0,1098548.0,584601.0,4438154,85677.0,3931944.0,420533.0,3933742,1622098.0,794454.0,1428295.0,88895,6578862,6231752.0,4203355.0
4.0,2021JUL,36170764,32646826,13679787,12607970.0,700790,371027,13805793,2596441.0,4717601,154115.0,103542.0,363573.0,300189,163770.0,255249,1117430,639332.0,473422.0,854083.0,292896.0,3506398,54818.0,3123403.0,328177.0,2985353,1211191.0,598251.0,1105396.0,70515,5161246,4908806.0,3523938.0
4.0,2021AUG,36106994,32541185,13545050,12468409.0,724720,351921,13888568,2549332.0,4811938,154282.0,103505.0,384621.0,293593,173335.0,264767,1091418,654416.0,489844.0,930414.0,271743.0,3585952,62320.0,3182752.0,340880.0,2941346,1188945.0,597384.0,1088390.0,66627,5107567,4857804.0,3565809.0
5.0,2021SEP,45164182,40556969,16947455,15576923.0,937277,433255,17230608,3282899.0,5955353,199393.0,125557.0,491821.0,388883,218983.0,313757,1405883,839284.0,607434.0,1072585.0,291773.0,4534956,77617.0,4030664.0,426675.0,3457400,1347867.0,727387.0,1309203.0,72943,6378906,6098062.0,4607213.0
4.0,2021OCT,36761685,33196510,13710432,12567284.0,786053,357095,14393426,2635748.0,5084389,158550.0,96418.0,403107.0,285484,194749.0,241181,1149872,702782.0,518717.0,831617.0,501912.0,3834435,61551.0,3382293.0,390591.0,2838854,1128288.0,610853.0,1028932.0,70781,5092652,4855557.0,3565175.0
4.0,2021NOV,37355460,33432017,13786529,12589280.0,804365,392884,14486928,2582833.0,5091857,125035.0,96921.0,402203.0,299286,200965.0,245409,1154522,714190.0,519916.0,998557.0,334853.0,3936161,76916.0,3461538.0,397707.0,2876077,1144800.0,601528.0,1063984.0,65765,5158560,4925876.0,3923443.0
5.0,2021DEC,45278419,40654222,17227195,15694125.0,992294,540776,16819319,3051814.0,5674958,151469.0,110231.0,503317.0,367494,215807.0,284917,1258325,853732.0,606110.0,1028992.0,294564.0,4624041,91909.0,4048105.0,484027.0,3468506,1311759.0,644909.0,1388722.0,123116,6607708,6333772.0,4624197.0
4.0,2022JAN,36846080,33054249,13466119,12321383.0,829727,315009,14085212,2553351.0,5061332,121294.0,90996.0,441821.0,313679,261673.0,222885,979688,695727.0,635833.0,977197.0,320539.0,3491587,72252.0,3081153.0,338182.0,2978942,1267704.0,581115.0,1062651.0,67472,5502918,5282626.0,3791831.0
4.0,2022FEB,37105858,33137013,13631066,12536491.0,816113,278462,14220157,2663030.0,4727650,116706.0,104733.0,402779.0,311357,227940.0,228851,1104398,671536.0,537854.0,818293.0,203203.0,3891087,69162.0,3424805.0,397120.0,2938390,1197761.0,606097.0,1068840.0,65692,5285790,5123131.0,3968845.0
