Number of weeks,Description,All retailing,All retailing except automotive fuel,Predominantly food stores,Non-specialised stores (i.e supermarkets),Specialist food stores (i.e butchers and bakers),"Alcoholic drink, beverages & tobacco",Predominantly non-food stores,Non-specialised stores (i.e department stores),Other non-food stores,Dispensing chemists,Medical goods,Cosmetics and toilet articles,Computers & telecoms equipment,"Carpets, rugs, wall & coverings","Books, newspapers & stationery","Sports equipment, games and toys",Watches and jewellery,"Flowers, plants, seeds, fertilisers, pet animals and pet food",Other retail sales of new goods in specialised stores,Second-hand goods,"Textile, clothing & footwear stores",Textiles,Clothing,Footwear and leather goods,Household goods stores,"Furniture, lighting and household articles n.e.c",Electrical household aplliances,"Hardware, paints and glass",Music and video recordings & equiptment,Non-store retailing,Mail order,Fuel
4.0,2009APR,24124076,21768327,10226184,9314186.0,598456,313542,10479685,1838432.0,3255350,90590.0,36666.0,181985.0,393236,198034.0,396279,489386,303930.0,236101.0,799033.0,130110.0,2972458,58210.0,2579896.0,334352.0,2413445,781624.0,625172.0,855851.0,150798,1062458,869020.0,2355749.0
4.0,2009MAY,24135844,21731856,10268754,9367646.0,591416,309692,10397168,1843348.0,3197111,86412.0,32628.0,180131.0,370176,205853.0,388583,472970,309464.0,223797.0,797835.0,129262.0,2931524,65398.0,2542936.0,323190.0,2425185,792489.0,624420.0,854627.0,153649,1065934,875063.0,2403988.0
5.0,2009JUN,30611078,27505356,13019088,11903696.0,718386,397006,13148780,2299919.0,4069517,112219.0,41933.0,233624.0,473892,239420.0,467108,645700,375644.0,287364.0,1009719.0,182894.0,3757788,75387.0,3289953.0,392448.0,3021556,994096.0,767328.0,1060349.0,199783,1337488,1084739.0,3105722.0
4.0,2009JUL,24472743,22011367,10302791,9396566.0,599424,306801,10596405,1850743.0,3292971,97066.0,33471.0,182237.0,443614,205741.0,368919,526691,297076.0,220219.0,773948.0,143989.0,2984399,61344.0,2615962.0,307093.0,2468292,836972.0,655346.0,829089.0,146885,1112171,890275.0,2461376.0
4.0,2009AUG,24600760,22078472,10340292,9440649.0,588070,311573,10590152,1859295.0,3269500,91287.0,33651.0,183326.0,389519,209971.0,368840,531836,338254.0,217330.0,738187.0,167299.0,2953987,59781.0,2585326.0,308880.0,2507370,849971.0,653794.0,855329.0,148276,1148028,896314.0,2522288.0
5.0,2009SEP,30756662,27550075,12867980,11766163.0,718620,383197,13211048,2335108.0,4079707,114942.0,45399.0,230836.0,485385,250630.0,455996,666271,393437.0,273276.0,960892.0,202643.0,3677727,74379.0,3230166.0,373182.0,3118506,1055951.0,813518.0,1067398.0,181639,1471047,1137795.0,3206587.0
4.0,2009OCT,24757654,22146784,10275169,9426118.0,553051,296000,10716686,1906968.0,3268321,89806.0,35848.0,185801.0,385580,216784.0,381364,519596,308479.0,236961.0,765177.0,142925.0,3002137,60573.0,2627543.0,314021.0,2539260,851804.0,665292.0,873786.0,148378,1154929,934773.0,2610870.0
4.0,2009NOV,24741600,22159730,10281305,9428314.0,560689,292302,10690450,1888422.0,3320364,92356.0,36427.0,172044.0,426322,184336.0,374736,524605,327329.0,233624.0,811943.0,136642.0,2953596,55445.0,2593000.0,305151.0,2528068,861342.0,659786.0,857004.0,149936,1187975,940381.0,2581870.0
5.0,2009DEC,30909948,27770679,12919075,11872323.0,688621,358131,13377045,2367958.0,4097172,103029.0,40714.0,230907.0,483197,247369.0,458245,563339,465944.0,276020.0,1014196.0,214212.0,3683571,60644.0,3245494.0,377433.0,3228344,1047895.0,829980.0,1157982.0,192487,1474559,1177044.0,3139269.0
4.0,2010JAN,24069598,21649249,10344277,9515796.0,518614,309867,10185155,1912762.0,3042584,83576.0,25537.0,194153.0,299732,175573.0,353527,450138,298627.0,239948.0,790093.0,131680.0,3042306,60569.0,2666473.0,315264.0,2187503,711895.0,540214.0,798110.0,137284,1119817,904576.0,2420349.0
4.0,2010FEB,24754376,22227329,10270136,9447288.0,543051,279797,10805216,1951144.0,3276275,83854.0,29075.0,208864.0,356161,177364.0,358480,457615,374831.0,262201.0,812204.0,155626.0,3121080,59832.0,2734339.0,326909.0,2456717,815820.0,639127.0,848192.0,153578,1151977,951807.0,2527047.0
5.0,2010MAR,31002911,27784064,12835000,11786713.0,702680,345607,13479601,2451515.0,4042038,101746.0,37007.0,252341.0,454988,213393.0,437139,598376,435486.0,308851.0,1019348.0,183363.0,3903461,73879.0,3412787.0,416795.0,3082587,994882.0,803123.0,1096934.0,187648,1469463,1197490.0,3218847.0
4.0,2010APR,25055996,22414349,10449195,9617719.0,569705,261771,10767466,1963573.0,3218081,83605.0,30454.0,200932.0,338684,163304.0,348493,505577,328240.0,243852.0,823470.0,151470.0,3166508,60981.0,2781264.0,324263.0,2419304,786752.0,602339.0,875356.0,154857,1197688,969350.0,2641647.0
4.0,2010MAY,25078743,22446788,10474918,9651030.0,564357,259531,10791609,1989406.0,3236022,82331.0,31369.0,203015.0,361857,166913.0,344938,473153,339441.0,230435.0,856097.0,146473.0,3116597,60718.0,2726866.0,329013.0,2449584,794108.0,653650.0,850264.0,151562,1180261,957071.0,2631955.0
5.0,2010JUN,31420580,28210760,13230065,12203302.0,716902,309861,13506555,2516378.0,4076892,100289.0,40871.0,252677.0,467197,205926.0,426729,609276,446479.0,317782.0,1026131.0,183535.0,3880727,75251.0,3385890.0,419586.0,3032558,950145.0,853538.0,1043894.0,184981,1474140,1210211.0,3209820.0
4.0,2010JUL,25228826,22620941,10413167,9602916.0,571335,238916,10969989,1975871.0,3432981,85258.0,33072.0,205468.0,379848,154062.0,344088,500155,370255.0,280977.0,923776.0,156022.0,3132964,62692.0,2729082.0,341190.0,2428173,765047.0,664286.0,850758.0,148082,1237785,1000775.0,2607885.0
4.0,2010AUG,25238264,22682470,10384007,9590801.0,564322,228884,11017901,2002492.0,3457284,84373.0,29386.0,210514.0,417742,155932.0,350816,509693,372537.0,286236.0,894204.0,145851.0,3130806,64358.0,2728766.0,337682.0,2427319,782685.0,644997.0,854384.0,145253,1280562,1052919.0,2555794.0
5.0,2010SEP,31347848,28188216,13009277,12036747.0,714821,257709,13600341,2500248.0,4194719,99959.0,36026.0,261089.0,453196,190099.0,427642,673316,465521.0,349003.0,1052826.0,186042.0,3936505,78357.0,3424467.0,433681.0,2968869,964301.0,795787.0,1044653.0,164128,1578598,1308490.0,3159632.0
4.0,2010OCT,25320976,22694949,10477743,9662680.0,613526,201537,10943598,1992097.0,3418291,84019.0,27697.0,214159.0,339086,147268.0,339979,552862,399355.0,273659.0,846279.0,193928.0,3188991,62627.0,2780322.0,346042.0,2344219,782027.0,634755.0,785664.0,141773,1273608,1066465.0,2626027.0
4.0,2010NOV,25535781,22783271,10625832,9797772.0,602139,225921,10901456,1966975.0,3443969,87725.0,31140.0,214163.0,367835,155707.0,345239,563733,381395.0,265216.0,880967.0,150849.0,3180833,66312.0,2762373.0,352148.0,2309679,786935.0,613214.0,764402.0,145128,1255983,1043468.0,2752510.0
5.0,2010DEC,31408199,28165932,13068998,12188023.0,644731,236244,13448813,2517464.0,4182374,111693.0,34893.0,273772.0,484216,178732.0,435711,669662,456591.0,337345.0,1008111.0,191648.0,3817902,75641.0,3317924.0,424337.0,2931073,985482.0,781448.0,980216.0,183927,1648121,1382213.0,3242267.0
4.0,2011JAN,26004452,22998048,10613499,9780361.0,586378,246760,11054191,2116083.0,3402012,94483.0,31045.0,228251.0,385088,155948.0,365484,541239,369338.0,264155.0,814541.0,152440.0,3194244,55726.0,2805198.0,333320.0,2341852,807275.0,616903.0,784336.0,133338,1330358,1094391.0,3006404.0
4.0,2011FEB,25967680,22937921,10588769,9756517.0,578912,253340,11008963,2041508.0,3430154,91452.0,32846.0,214990.0,423651,126882.0,365576,530579,369242.0,272069.0,840339.0,162528.0,3203575,53298.0,2820356.0,329921.0,2333726,842421.0,569520.0,789421.0,132364,1340189,1100086.0,3029759.0
5.0,2011MAR,32458855,28695775,13442029,12416550.0,709928,315551,13604247,2558991.0,4169983,118653.0,41781.0,272989.0,478020,155042.0,452737,654299,436166.0,356835.0,1006310.0,197151.0,3952822,65243.0,3479718.0,407861.0,2922451,992472.0,729513.0,1038078.0,162388,1649499,1357495.0,3763080.0
4.0,2011APR,26422982,23311234,10957486,10136708.0,565004,255774,11022859,2022601.0,3336389,90114.0,31762.0,220208.0,322400,120373.0,337283,543308,376272.0,334657.0,790047.0,169965.0,3342655,50737.0,2948100.0,343818.0,2321214,745488.0,547407.0,903546.0,124773,1330889,1100556.0,3111748.0
4.0,2011MAY,26002709,22944237,10704318,9893947.0,573018,237353,10870069,2016909.0,3325060,89774.0,33448.0,214221.0,374207,113778.0,354275,549502,377130.0,279558.0,770353.0,168814.0,3218505,50899.0,2837311.0,330295.0,2309595,774797.0,574256.0,840129.0,120413,1369850,1138577.0,3058472.0
5.0,2011JUN,32589267,28775105,13470542,12425850.0,722997,321695,13535521,2536255.0,4092895,110187.0,42834.0,265189.0,462389,151708.0,443716,666982,485056.0,340863.0,896608.0,227363.0,4004074,64191.0,3514054.0,425829.0,2902297,997606.0,705125.0,1043312.0,156254,1769042,1472334.0,3814162.0
4.0,2011JUL,26249740,23196851,10883184,10044434.0,586952,251798,10918171,2054670.0,3294867,83356.0,32905.0,218380.0,336227,121614.0,359152,542291,386979.0,273541.0,760043.0,180379.0,3238626,51082.0,2836895.0,350649.0,2330008,804935.0,554099.0,847686.0,123288,1395496,1185471.0,3052889.0
4.0,2011AUG,26239649,23207337,10950584,10114609.0,584604,251371,10826837,2048024.0,3296313,82126.0,34230.0,213248.0,347904,118079.0,340712,539550,390120.0,274111.0,780759.0,175474.0,3174752,48056.0,2804682.0,322014.0,2307748,807252.0,573787.0,806159.0,120550,1429916,1218461.0,3032312.0
5.0,2011SEP,33007462,29180807,13765922,12702078.0,733914,329930,13618551,2579091.0,4151035,105304.0,43344.0,273967.0,417031,155865.0,428903,661127,485005.0,346840.0,1001511.0,232138.0,3980265,71048.0,3488924.0,420293.0,2908160,1041587.0,739497.0,972191.0,154885,1796334,1527120.0,3826655.0
4.0,2011OCT,26674859,23566294,11054087,10203614.0,572413,278060,11074533,2052817.0,3415691,87743.0,33595.0,206224.0,345749,125907.0,328466,542508,462571.0,286649.0,834735.0,161544.0,3235075,48957.0,2848328.0,337790.0,2370950,815861.0,612434.0,818780.0,123875,1437674,1209713.0,3108565.0
4.0,2011NOV,26629548,23372503,11016070,10172073.0,578192,265805,10858334,2009174.0,3329469,85786.0,33866.0,220707.0,365015,112193.0,347110,556039,385260.0,288261.0,746073.0,189159.0,3235926,50671.0,2831230.0,354025.0,2283765,811369.0,538230.0,809103.0,125063,1498099,1290513.0,3257045.0
5.0,2011DEC,33541018,29470394,13853041,12780377.0,747185,325479,13788521,2597139.0,4147077,100989.0,46712.0,265347.0,436635,167243.0,438327,697127,481632.0,380956.0,914165.0,217944.0,4171734,64531.0,3663089.0,444114.0,2872571,1001496.0,691902.0,1022742.0,156431,1828832,1553778.0,4070624.0
4.0,2012JAN,26876689,23596571,11046766,10197544.0,589793,259429,11084809,2092557.0,3410532,87679.0,38177.0,212902.0,349592,162606.0,349069,568659,389196.0,309209.0,750191.0,193252.0,3289351,53902.0,2887515.0,347934.0,2292369,783660.0,613258.0,785315.0,110136,1464996,1250166.0,3280118.0
4.0,2012FEB,26767582,23562987,11153529,10312964.0,591708,248857,10948979,2087700.0,3317212,90088.0,35599.0,214884.0,328408,153823.0,344830,564054,381591.0,297066.0,727637.0,179232.0,3257402,53932.0,2860906.0,342564.0,2286665,790487.0,589235.0,785499.0,121444,1460479,1247493.0,3204595.0
5.0,2012MAR,34134125,29924349,13910214,12879625.0,736790,293799,14146231,2760155.0,4263706,110907.0,46398.0,270923.0,407595,197016.0,437835,702668,475223.0,407117.0,967399.0,240625.0,4183136,66384.0,3654483.0,462269.0,2939234,1034667.0,741261.0,1008399.0,154907,1867904,1594737.0,4209776.0
4.0,2012APR,26662540,23616404,11068036,10258857.0,583599,225580,11054378,2184324.0,3291653,81159.0,38894.0,216176.0,337106,164565.0,353774,571983,360439.0,295217.0,699413.0,172927.0,3207131,50959.0,2816874.0,339298.0,2371270,869585.0,601566.0,771583.0,128536,1493990,1295027.0,3046136.0
4.0,2012MAY,26800504,23763151,11149203,10325325.0,586681,237197,11082344,2211985.0,3265316,91152.0,34371.0,223660.0,324169,167989.0,353165,552990,373747.0,272400.0,695652.0,176021.0,3241105,51256.0,2841717.0,348132.0,2363938,856612.0,598692.0,784966.0,123668,1531604,1301729.0,3037353.0
5.0,2012JUN,33410624,29817680,13964582,12947733.0,738685,278164,13983727,2752562.0,4224402,109011.0,44878.0,286441.0,406916,199629.0,437638,763662,468377.0,379442.0,919081.0,209327.0,4046473,66844.0,3547687.0,431942.0,2960290,1135217.0,725301.0,958191.0,141581,1869371,1625152.0,3592944.0
4.0,2012JUL,26802608,23866770,11106471,10276204.0,595984,234283,11198475,2198682.0,3395518,80940.0,36424.0,226139.0,347602,159155.0,362726,606628,380352.0,290332.0,724742.0,180478.0,3263101,52850.0,2861200.0,349051.0,2341174,861311.0,599044.0,760141.0,120678,1561824,1363138.0,2935838.0
4.0,2012AUG,26918657,23914202,11286670,10458092.0,589164,239414,11155501,2168479.0,3440893,86123.0,37121.0,227615.0,327054,157116.0,316711,626000,365083.0,297383.0,833345.0,167342.0,3269901,56167.0,2867531.0,346203.0,2276228,833779.0,550786.0,775672.0,115991,1472031,1262923.0,3004455.0
5.0,2012SEP,34001519,30082452,14137973,13116859.0,750097,271017,14000734,2755088.0,4231509,86448.0,44716.0,283878.0,421411,199156.0,415706,772743,491305.0,381789.0,927765.0,206592.0,4179396,71130.0,3658227.0,450039.0,2834741,1038998.0,668673.0,983920.0,143150,1943745,1684060.0,3919067.0
4.0,2012OCT,27125039,24053890,11250144,10454566.0,615528,180050,11215939,2181245.0,3416872,82810.0,37918.0,227085.0,317997,165030.0,334221,627114,382136.0,292934.0,771093.0,178534.0,3341629,56928.0,2920825.0,363876.0,2276193,856422.0,538768.0,767218.0,113785,1587807,1361835.0,3071149.0
4.0,2012NOV,27002380,24021574,11303229,10497938.0,606319,198972,11118309,2178621.0,3438532,81966.0,37604.0,224739.0,313998,158334.0,323666,595734,374481.0,315135.0,850712.0,162163.0,3201704,48749.0,2818173.0,334782.0,2299452,832372.0,544691.0,810673.0,111716,1600036,1373418.0,2980806.0
5.0,2012DEC,34086369,30299522,14189423,13185819.0,773208,230396,14038077,2752463.0,4287132,102352.0,48118.0,306920.0,397648,206177.0,405153,745053,490825.0,411967.0,962262.0,210657.0,4135523,60320.0,3652477.0,422726.0,2862959,1038851.0,658820.0,1023813.0,141475,2072022,1803003.0,3786847.0
4.0,2013JAN,27219625,24267647,11482408,10627049.0,626802,228557,11081084,2212509.0,3290520,83609.0,36232.0,235993.0,332092,167535.0,334217,614887,399228.0,310290.0,600484.0,175953.0,3354980,56044.0,2946087.0,352849.0,2223075,848150.0,452158.0,815940.0,106827,1704155,1474238.0,2951978.0
4.0,2013FEB,27658387,24575814,11428492,10554602.0,650404,223486,11409855,2262958.0,3487518,83625.0,35472.0,242762.0,345124,178513.0,352702,640217,415676.0,297264.0,720810.0,175353.0,3381802,55428.0,2958989.0,367385.0,2277577,849265.0,484488.0,840624.0,103200,1737467,1510418.0,3082573.0
5.0,2013MAR,33992295,30119771,14236208,13170488.0,790903,274817,13713572,2743031.0,4187916,103096.0,45822.0,307843.0,414695,228268.0,407877,759688,512138.0,328790.0,851680.0,228019.0,4095230,67628.0,3614633.0,412969.0,2687395,1046292.0,583117.0,940310.0,117676,2169991,1883997.0,3872524.0
4.0,2013APR,27021031,24027884,11288377,10463516.0,609155,215706,11024432,2207710.0,3401623,82930.0,30654.0,255930.0,347540,187724.0,318031,570563,447907.0,270074.0,696731.0,193539.0,3213478,56242.0,2830011.0,327225.0,2201621,816941.0,475217.0,825734.0,83729,1715075,1485620.0,2993147.0
4.0,2013MAY,27458823,24508504,11492638,10656201.0,624907,211530,11257010,2225689.0,3383315,81975.0,34535.0,260779.0,345342,185116.0,318269,558422,406901.0,313464.0,692057.0,186455.0,3339971,58155.0,2951252.0,330564.0,2308035,883568.0,467851.0,870881.0,85735,1758856,1516701.0,2950319.0
5.0,2013JUN,34592730,30871335,14389847,13364129.0,772585,253133,14235096,2894854.0,4345107,106410.0,43425.0,339453.0,413479,234617.0,403780,739251,496018.0,408226.0,916158.0,244290.0,4179948,73883.0,3704578.0,401487.0,2815187,1064442.0,585344.0,1061219.0,104182,2246392,1929364.0,3721395.0
4.0,2013JUL,27876989,24849886,11725355,10907527.0,609601,208227,11317259,2245387.0,3477330,91446.0,37528.0,252633.0,333632,190211.0,308778,616949,408055.0,339265.0,727717.0,171116.0,3331242,57573.0,2952352.0,321317.0,2263300,878587.0,457745.0,847949.0,79019,1807272,1549817.0,3027103.0
4.0,2013AUG,27740700,24709745,11608485,10774760.0,631860,201865,11199101,2269194.0,3430580,86948.0,38065.0,255296.0,329281,184213.0,316177,624692,406288.0,337405.0,665068.0,187147.0,3326698,57548.0,2932581.0,336569.0,2172629,781343.0,481284.0,827972.0,82030,1902159,1632217.0,3030955.0
5.0,2013SEP,35081101,31308979,14504675,13462835.0,779469,262371,14532705,2849573.0,4559126,107709.0,51487.0,322592.0,415893,225532.0,394547,793570,573769.0,419967.0,977215.0,276845.0,4337253,65581.0,3827600.0,444072.0,2786753,1051511.0,605323.0,1027857.0,102062,2271599,1963293.0,3772122.0
